Месяц,Позиция,Категория,Канал,"Продано, шт","Цена, ₽","Выручка, ₽","Возвраты, шт"
2026-07,Костюм спорт,костюмы,Шоурум,10,8900,89000,0
2026-08,Худи oversize,худи,Сайт,12,4900,58800,0
2026-08,Худи oversize,худи,Wildberries,42,4900,205800,3
2026-08,Худи oversize,худи,Ozon,20,4900,98000,2
2026-08,Худи oversize,худи,Шоурум,10,4900,49000,0
2026-08,Худи zip,худи,Сайт,24,5400,129600,0
2026-08,Худи zip,худи,Wildberries,22,5400,118800,2
2026-08,Худи zip,худи,Ozon,24,5400,129600,2
2026-08,Худи zip,худи,Шоурум,10,5400,54000,0
2026-08,Футболка базовая,футболки,Сайт,17,1900,32300,0
2026-08,Футболка базовая,футболки,Wildberries,52,1900,98800,5
2026-08,Футболка базовая,футболки,Ozon,19,1900,36100,0
2026-08,Футболка базовая,футболки,Шоурум,9,1900,17100,0
2026-08,Футболка принт,футболки,Сайт,23,2400,55200,0
2026-08,Футболка принт,футболки,Wildberries,49,2400,117600,4
2026-08,Футболка принт,футболки,Ozon,21,2400,50400,1
2026-08,Футболка принт,футболки,Шоурум,4,2400,9600,0
2026-08,Свитшот,свитшоты,Сайт,17,4200,71400,0
2026-08,Свитшот,свитшоты,Wildberries,30,4200,126000,2
2026-08,Свитшот,свитшоты,Ozon,21,4200,88200,2
2026-08,Свитшот,свитшоты,Шоурум,10,4200,42000,0
2026-08,Брюки карго,брюки,Сайт,8,5900,47200,0
2026-08,Брюки карго,брюки,Wildberries,43,5900,253700,1
2026-08,Брюки карго,брюки,Ozon,4,5900,23600,0
2026-08,Брюки карго,брюки,Шоурум,7,5900,41300,0
2026-08,Шорты,шорты,Сайт,26,2900,75400,0
2026-08,Шорты,шорты,Wildberries,48,2900,139200,1
2026-08,Шорты,шорты,Ozon,21,2900,60900,2
2026-08,Шорты,шорты,Шоурум,8,2900,23200,0
2026-08,Кепка,аксессуары,Сайт,25,1500,37500,0
2026-08,Кепка,аксессуары,Wildberries,42,1500,63000,1
2026-08,Кепка,аксессуары,Ozon,11,1500,16500,1
2026-08,Кепка,аксессуары,Шоурум,8,1500,12000,0
2026-08,Шапка бини,аксессуары,Сайт,27,1700,45900,0
2026-08,Шапка бини,аксессуары,Wildberries,53,1700,90100,6
2026-08,Шапка бини,аксессуары,Ozon,24,1700,40800,0
2026-08,Шапка бини,аксессуары,Шоурум,8,1700,13600,0
2026-08,Костюм спорт,костюмы,Сайт,14,8900,124600,0
2026-08,Костюм спорт,костюмы,Wildberries,32,8900,284800,3
2026-08,Костюм спорт,костюмы,Ozon,13,8900,115700,1
2026-08,Костюм спорт,костюмы,Шоурум,10,8900,89000,0
